Keuwl Accelerometer Data File
2023-07-29 16:03:40

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
54.1317520,0.312862,-1.448256,10.777273,10.878647,7.827995,282.190094
54.1507645,0.263211,-1.597209,10.618749,10.741424,8.667597,279.357910
54.1697769,0.306879,-1.517648,10.648061,10.760048,8.273554,281.431488
54.1887932,0.389432,-1.490130,10.528419,10.640477,8.322607,284.646149
54.2078056,0.336790,-1.443470,10.436894,10.541622,8.083035,283.133270
54.2268181,0.359522,-1.433899,10.390832,10.495461,8.097013,284.075592
54.2458344,0.349352,-1.463211,10.479366,10.586791,8.169117,283.428375
54.2648468,0.444467,-1.388435,10.650454,10.749765,7.794223,287.750946
54.2838593,0.457627,-1.539183,10.673783,10.793895,8.555474,286.558167
54.3028755,0.524028,-1.470988,10.640285,10.754258,8.348990,289.608063
54.3218880,0.587438,-1.432104,10.767702,10.878392,8.180477,292.303040
54.3409004,0.456431,-1.620539,10.576875,10.710031,9.044266,285.730072
54.3599167,0.507278,-1.490130,10.494322,10.611720,8.530554,288.799896
54.3789291,0.314656,-1.546960,10.473983,10.592280,8.571094,281.497284
54.3979416,0.340379,-1.520041,10.542776,10.657228,8.404595,282.621887
54.4169540,0.273978,-1.544567,10.834701,10.947671,8.238213,280.058594
54.4359703,0.187238,-1.543969,10.956137,11.065976,8.079439,276.914551
54.4549828,0.207577,-1.469791,11.005788,11.105437,7.681248,278.038666
54.4739952,0.253041,-1.432104,10.958529,11.054606,7.559461,280.020264
54.4930115,0.347557,-1.444068,10.554143,10.658145,8.010723,283.532532
54.5120239,0.253639,-1.539781,10.379466,10.496121,8.550239,279.354004
54.5310364,0.180658,-1.438685,10.398609,10.499215,7.938128,277.157257
54.5500526,0.276969,-1.429113,10.505688,10.606062,7.888866,280.968231
54.5690651,0.379861,-1.317249,10.628919,10.716966,7.349483,286.086212
54.5880775,0.506680,-1.321436,10.600204,10.694263,7.604652,290.978394
